TransactionID,Age,Gender,State,Bank,AccountType,TransactionAmount,AccountBalance,NumTransactionsDay,TransactionHour,TransactionDay,Channel,LocationMatch,DeviceKnown,PrevFraudFlag,AccountAgeMonths,FailedAttempts,InternationalTransaction,AmountToBalanceRatio,IsFraud,n_TransactionAmount,n_AccountBalance,UnusualTransactionHour,AgeTransactionsRatio,RedFlag_Attempt,AmountToBalance_nRatio
TXN0000045,20,Male,Bauchi,FirstBank,Current,10317.69,333574.98,4,22,Wednesday,Mobile,Yes,Yes,0,48.0,0,No,0.0309,No,9.2417,12.7176,RedFlag,0.0816,0,0.7267
TXN0000046,54,Male,Kaduna,GTBank,Current,281.72,456776.76,2,21,Monday,Atm,No,Yes,0,49.0,0,No,0.0006,No,5.6445,13.032,Normal,0.04,0,0.4331
TXN0000047,68,Male,Lagos,UBA,Current,77103.44,64711.05,4,0,Saturday,Transfer,Yes,Yes,0,12.0,2,No,1.1915,No,11.2529,11.0777,RedFlag,0.3077,2,1.0158
TXN0000048,24,Female,Bauchi,Access,Savings,16856.57,204824.58,1,1,Tuesday,Transfer,Yes,Yes,0,37.0,0,No,0.0823,No,9.7326,12.2299,RedFlag,0.0263,0,0.7958
TXN0000049,38,Female,Bauchi,UBA,Current,38506.85,10205.02,2,9,Wednesday,Pos,Yes,Yes,0,30.0,1,No,3.7733,No,10.5586,9.2307,Normal,0.0645,1,1.1439
TXN0000050,26,Female,Oyo,Sterling,Savings,41848.23,69235.2,1,4,Thursday,Online,No,Yes,0,38.0,0,No,0.6044,No,10.6418,11.1453,RedFlag,0.0256,0,0.9548
TXN0000051,56,Female,Anambra,FCMB,Savings,12667.38,17269.84,6,18,Saturday,Mobile,No,Yes,0,31.0,0,Yes,0.7335,No,9.4469,9.7568,Normal,0.1875,0,0.9682
TXN0000052,35,Female,Enugu,Zenith,Savings,19482.5,8541.11,1,11,Saturday,Atm,No,No,0,1.0,0,No,2.281,No,9.8773,9.0528,Normal,0.5,0,1.0911
TXN0000053,21,Female,Anambra,Zenith,Current,19408.63,133298.07,4,23,Sunday,Pos,Yes,Yes,0,56.0,2,No,0.1456,No,9.8735,11.8004,RedFlag,0.0702,2,0.8367
TXN0000054,42,Female,Bauchi,UBA,Savings,6218.46,242946.71,1,23,Friday,Transfer,Yes,Yes,0,40.0,0,No,0.0256,No,8.7354,12.4006,RedFlag,0.0244,0,0.7044
TXN0000055,31,Female,Abuja,Sterling,Current,3128.85,90487.81,5,17,Thursday,Atm,No,No,0,69.0,0,No,0.0346,No,8.0487,11.413,Normal,0.0714,0,0.7052
TXN0000056,67,Male,Delta,Fidelity,Savings,19608.12,111407.07,2,5,Thursday,Atm,No,No,0,31.0,0,No,0.176,No,9.8838,11.621,Normal,0.0625,0,0.8505
TXN0000057,26,Male,Oyo,FirstBank,Current,3199.9,47356.69,1,22,Wednesday,Online,Yes,No,0,36.0,1,Yes,0.0676,No,8.0712,10.7655,RedFlag,0.027,1,0.7497
TXN0000058,43,Male,Anambra,UBA,Savings,10619.59,199991.13,2,13,Wednesday,Pos,No,No,0,30.0,0,No,0.0531,No,9.2705,12.206,Normal,0.0645,0,0.7595
TXN0000059,70,Male,Kano,Polaris,Savings,5147.43,67194.82,4,22,Monday,Online,Yes,No,0,43.0,0,Yes,0.0766,No,8.5464,11.1154,RedFlag,0.0909,0,0.7689
TXN0000060,19,Male,Kaduna,UBA,Savings,30682.41,10482.76,4,2,Monday,Pos,Yes,Yes,0,58.0,0,No,2.9269,No,10.3315,9.2576,RedFlag,0.0678,0,1.116
TXN0000061,37,Male,Kaduna,Zenith,Savings,51394.85,27139.77,1,12,Thursday,Transfer,Yes,Yes,0,52.0,0,No,1.8937,No,10.8473,10.2088,Normal,0.0189,0,1.0625
TXN0000062,45,Female,Enugu,Sterling,Savings,21563.69,20625.51,1,6,Monday,Mobile,No,No,0,46.0,1,No,1.0455,No,9.9788,9.9343,Normal,0.0213,1,1.0045
TXN0000063,64,Male,Kano,Access,Savings,13197.42,85872.65,1,16,Saturday,Mobile,Yes,No,0,29.0,1,No,0.1537,No,9.4879,11.3606,Normal,0.0333,1,0.8352
TXN0000064,24,Male,Anambra,UBA,Current,77103.44,10115.44,1,8,Monday,Pos,No,Yes,0,57.0,0,No,7.6224,No,11.2529,9.2219,Normal,0.0172,0,1.2202
TXN0000065,61,Male,Anambra,Polaris,Current,535.93,246359.51,1,5,Tuesday,Atm,No,Yes,0,20.0,1,No,0.0022,No,6.2859,12.4146,Normal,0.0476,1,0.5063
TXN0000066,25,Male,Bauchi,UBA,Current,9072.4,357903.47,2,5,Monday,Online,Yes,No,0,1.0,0,No,0.0253,No,9.1131,12.788,Normal,1.0,0,0.7126
TXN0000067,64,Female,Anambra,Stanbic,Current,8166.57,42831.49,4,22,Thursday,Online,Yes,Yes,1,35.0,0,No,0.1907,No,9.0079,10.6651,RedFlag,0.1111,1,0.8446
TXN0000068,52,Female,Kano,Sterling,Savings,11009.32,99686.8,2,1,Wednesday,Pos,Yes,No,0,1.0,0,Yes,0.1104,No,9.3066,11.5098,RedFlag,1.0,0,0.8086
TXN0000069,31,Male,Kaduna,Access,Savings,6553.47,109802.87,1,10,Friday,Online,Yes,No,0,14.0,1,No,0.0597,No,8.7879,11.6065,Normal,0.0667,1,0.7572
TXN0000070,34,Male,Bauchi,FirstBank,Current,7672.06,456776.76,1,1,Wednesday,Pos,No,Yes,0,30.0,0,No,0.0168,No,8.9455,13.032,RedFlag,0.0323,0,0.6864
TXN0000071,53,Female,Lagos,UBA,Savings,7449.27,10180.74,3,19,Thursday,Atm,Yes,No,0,27.0,2,No,0.7317,No,8.916,9.2284,Normal,0.1071,2,0.9661
TXN0000072,46,Male,Kano,FCMB,Savings,21769.49,165339.91,2,14,Sunday,Atm,Yes,Yes,0,47.0,0,No,0.1317,No,9.9883,12.0158,Normal,0.0417,0,0.8313
TXN0000073,57,Female,Abuja,Sterling,Savings,12400.69,63643.3,1,1,Friday,Mobile,No,No,0,32.0,1,No,0.1948,Yes,9.4256,11.0611,RedFlag,0.0303,1,0.8521
TXN0000074,21,Female,Anambra,FCMB,Savings,25491.34,104514.92,4,6,Saturday,Mobile,Yes,No,0,40.0,1,No,0.2439,No,10.1461,11.5571,Normal,0.0976,1,0.8779
TXN0000075,19,Male,Kaduna,Stanbic,Savings,18059.31,36700.01,4,9,Tuesday,Mobile,Yes,Yes,0,19.0,2,No,0.4921,No,9.8015,10.5106,Normal,0.2,2,0.9325
TXN0000076,23,Male,Delta,Sterling,Savings,5065.82,26196.28,4,1,Thursday,Mobile,No,Yes,0,48.0,0,No,0.1934,No,8.5305,10.1734,RedFlag,0.0816,0,0.8385
TXN0000077,71,Female,Anambra,Access,Savings,41524.2,41870.86,2,16,Thursday,Atm,Yes,Yes,0,51.0,0,No,0.9917,No,10.6341,10.6424,Normal,0.0385,0,0.9992
TXN0000078,59,Male,Abuja,Access,Savings,15975.72,11089.28,1,16,Saturday,Mobile,No,Yes,0,37.0,1,No,1.4406,No,9.6789,9.3138,Normal,0.0263,1,1.0392
TXN0000079,21,Male,Kaduna,Access,Current,4158.2,48878.28,2,17,Thursday,Atm,Yes,Yes,0,27.0,0,No,0.0851,No,8.3331,10.7971,Normal,0.0714,0,0.7718
TXN0000080,71,Male,Enugu,FirstBank,Savings,4564.44,175847.34,1,13,Wednesday,Atm,Yes,Yes,0,38.0,0,Yes,0.026,No,8.4263,12.0774,Normal,0.0256,0,0.6977
TXN0000081,46,Female,Anambra,GTBank,Savings,39859.84,158109.78,1,2,Saturday,Online,No,Yes,0,18.0,0,No,0.2521,No,10.5931,11.9711,RedFlag,0.0526,0,0.8849
TXN0000082,35,Female,Bauchi,Sterling,Domiciliary,30350.0,121282.43,2,16,Sunday,Online,Yes,No,0,43.0,0,Yes,0.2502,No,10.3206,11.7059,Normal,0.0455,0,0.8817
TXN0000083,43,Female,Oyo,Access,Current,17657.23,500.0,1,23,Friday,Pos,Yes,Yes,0,35.0,1,No,35.3145,No,9.779,6.2166,RedFlag,0.0278,1,1.573
TXN0000084,61,Female,Kano,UBA,Current,9135.02,20163.83,1,14,Tuesday,Pos,Yes,No,0,18.0,2,Yes,0.453,Yes,9.12,9.9117,Normal,0.0526,2,0.9201
TXN0000085,51,Male,Abuja,FCMB,Current,15428.83,277601.72,1,21,Monday,Mobile,Yes,No,0,6.0,0,No,0.0556,No,9.6441,12.5339,Normal,0.1429,0,0.7694
TXN0000086,27,Male,Anambra,Polaris,Savings,25298.27,47564.24,6,18,Friday,Atm,Yes,No,0,63.0,0,No,0.5319,No,10.1385,10.7699,Normal,0.0938,0,0.9414
TXN0000087,53,Male,Lagos,Stanbic,Savings,52857.52,364902.17,1,19,Sunday,Pos,Yes,Yes,0,47.0,0,Yes,0.1449,No,10.8754,12.8074,Normal,0.0208,0,0.8491
TXN0000088,31,Female,Delta,Access,Savings,20290.83,311372.56,3,15,Thursday,Atm,Yes,No,0,48.0,0,Yes,0.0652,No,9.918,12.6487,Normal,0.0612,0,0.7841
TXN0000089,48,Male,Kaduna,UBA,Current,8099.5,25249.85,2,14,Sunday,Atm,Yes,Yes,0,35.0,0,Yes,0.3208,No,8.9997,10.1366,Normal,0.0556,0,0.8878
TXN0000090,65,Female,Abuja,UBA,Current,1092.0,342641.13,3,4,Thursday,Transfer,Yes,No,0,40.0,0,No,0.0032,No,6.9967,12.7444,RedFlag,0.0732,0,0.549
TXN0000091,32,Male,Kano,Access,Domiciliary,4823.09,148262.63,1,14,Thursday,Mobile,Yes,No,0,44.0,0,No,0.0325,No,8.4814,11.9067,Normal,0.0222,0,0.7123
TXN0000092,25,Female,Anambra,Access,Savings,26258.24,149254.16,1,14,Sunday,Pos,Yes,Yes,0,59.0,1,No,0.1759,No,10.1758,11.9134,Normal,0.0167,1,0.8541
TXN0000093,31,Male,Lagos,FirstBank,Domiciliary,4371.84,287272.09,3,23,Thursday,Pos,Yes,No,0,36.0,0,No,0.0152,No,8.3832,12.5682,RedFlag,0.0811,0,0.667
TXN0000094,40,Male,Kaduna,UBA,Savings,16422.29,77893.14,3,17,Sunday,Atm,Yes,Yes,0,1.0,0,No,0.2108,No,9.7065,11.2631,Normal,1.5,0,0.8618
TXN0000095,74,Female,Kano,Polaris,Current,30012.39,199352.93,3,4,Tuesday,Atm,No,Yes,0,29.0,0,No,0.1505,No,10.3094,12.2028,RedFlag,0.1,0,0.8448
TXN0000096,57,Female,Kaduna,UBA,Current,9212.36,165286.62,2,0,Wednesday,Online,Yes,Yes,0,8.0,0,No,0.0557,No,9.1284,12.0154,RedFlag,0.2222,0,0.7597
TXN0000097,38,Female,Kano,Polaris,Domiciliary,27648.92,221442.49,2,0,Friday,Atm,Yes,Yes,0,18.0,0,No,0.1249,No,10.2274,12.3079,RedFlag,0.1053,0,0.831
TXN0000098,33,Male,Anambra,FirstBank,Savings,21751.41,161904.83,4,2,Tuesday,Pos,Yes,Yes,0,23.0,0,Yes,0.1343,No,9.9875,11.9948,RedFlag,0.1667,0,0.8327
TXN0000099,62,Male,Oyo,GTBank,Current,14448.15,12516.18,4,16,Tuesday,Mobile,Yes,Yes,0,15.0,0,No,1.1544,No,9.5784,9.4349,Normal,0.25,0,1.0152
TXN0000100,35,Male,Rivers,FCMB,Domiciliary,56885.31,51947.39,1,21,Tuesday,Online,Yes,No,0,1.0,0,Yes,1.0951,No,10.9488,10.858,Normal,0.5,0,1.0084
TXN0000101,64,Male,Bauchi,Polaris,Savings,29446.17,421813.92,2,21,Tuesday,Online,No,No,0,25.0,0,No,0.0698,No,10.2904,12.9523,Normal,0.0769,0,0.7945
TXN0000102,70,Male,Oyo,GTBank,Domiciliary,11180.51,37929.34,1,20,Sunday,Transfer,No,Yes,0,1.0,0,No,0.2948,No,9.322,10.5435,Normal,0.5,0,0.8841
TXN0000103,41,Female,Rivers,Zenith,Domiciliary,40774.78,95872.85,4,13,Tuesday,Mobile,Yes,Yes,0,79.19999999999999,0,Yes,0.4253,No,10.6158,11.4708,Normal,0.0499,0,0.9255
TXN0000104,43,Male,Anambra,Zenith,Current,33495.02,66224.78,3,8,Tuesday,Mobile,Yes,Yes,0,23.0,1,No,0.5058,No,10.4192,11.1008,Normal,0.125,1,0.9386
TXN0000105,42,Male,Anambra,FirstBank,Savings,39217.47,13537.74,5,3,Tuesday,Mobile,No,Yes,0,33.0,1,Yes,2.8969,Yes,10.5769,9.5133,RedFlag,0.1471,1,1.1118
TXN0000106,62,Female,Anambra,Sterling,Current,25607.76,29985.24,4,18,Wednesday,Online,Yes,Yes,0,55.0,0,Yes,0.854,No,10.1507,10.3085,Normal,0.0714,0,0.9847
TXN0000107,58,Male,Rivers,GTBank,Savings,11925.53,50671.06,3,2,Wednesday,Mobile,Yes,Yes,0,14.0,2,No,0.2354,No,9.3865,10.8331,RedFlag,0.2,2,0.8665
TXN0000108,46,Male,Lagos,GTBank,Current,10714.96,93352.57,8,0,Saturday,Atm,Yes,No,0,56.0,1,No,0.1148,No,9.2795,11.4441,RedFlag,0.1404,1,0.8109
TXN0000109,32,Male,Abuja,Stanbic,Current,26543.85,311346.1,3,3,Tuesday,Pos,Yes,Yes,0,38.0,0,No,0.0853,No,10.1866,12.6487,RedFlag,0.0769,0,0.8053
TXN0000110,62,Male,Rivers,Fidelity,Domiciliary,3507.43,108731.68,4,22,Thursday,Mobile,Yes,Yes,0,25.0,0,Yes,0.0323,No,8.1629,11.5966,RedFlag,0.1538,0,0.7039
TXN0000111,18,Female,Delta,FirstBank,Savings,42858.07,158291.96,1,23,Monday,Pos,Yes,Yes,0,35.0,1,No,0.2708,No,10.6657,11.9722,RedFlag,0.0278,1,0.8909
TXN0000112,42,Male,Abuja,Zenith,Savings,11564.2,83257.16,4,13,Tuesday,Online,Yes,Yes,0,31.0,0,Yes,0.1389,No,9.3558,11.3297,Normal,0.125,0,0.8258
TXN0000113,24,Female,Delta,Zenith,Savings,24881.45,131384.3,7,21,Friday,Online,Yes,No,0,50.0,0,No,0.1894,No,10.1219,11.7859,Normal,0.1373,0,0.8588
TXN0000114,26,Female,Kano,UBA,Current,17281.92,162982.45,3,22,Friday,Mobile,No,No,0,74.0,0,No,0.106,No,9.7575,12.0014,RedFlag,0.04,0,0.813
TXN0000115,41,Female,Bauchi,Stanbic,Savings,18314.18,14250.53,4,20,Tuesday,Mobile,Yes,Yes,0,31.0,1,No,1.2852,No,9.8155,9.5646,Normal,0.125,1,1.0262
TXN0000116,18,Female,Bauchi,Access,Current,33485.86,97369.89,5,13,Sunday,Mobile,Yes,Yes,0,42.0,0,No,0.3439,No,10.4189,11.4863,Normal,0.1163,0,0.9071
TXN0000117,61,Male,Bauchi,FCMB,Savings,24632.32,263372.76,6,7,Wednesday,Online,Yes,Yes,0,30.0,0,No,0.0935,No,10.1119,12.4813,Normal,0.1935,0,0.8102
TXN0000118,25,Male,Enugu,UBA,Current,7202.35,198444.62,4,12,Saturday,Online,Yes,Yes,0,16.0,0,Yes,0.0363,No,8.8823,12.1983,Normal,0.2353,0,0.7282
TXN0000119,41,Male,Rivers,Stanbic,Savings,1928.13,353573.85,1,2,Friday,Pos,Yes,No,0,75.0,0,No,0.0055,No,7.5648,12.7759,RedFlag,0.0132,0,0.5921
TXN0000120,28,Female,Lagos,Zenith,Current,45851.14,38751.08,3,23,Wednesday,Pos,Yes,Yes,0,50.0,0,No,1.1832,No,10.7332,10.5649,RedFlag,0.0588,0,1.0159
TXN0000121,68,Male,Kano,Stanbic,Savings,54047.56,456776.76,4,6,Sunday,Online,Yes,Yes,0,49.0,0,No,0.1183,No,10.8976,13.032,Normal,0.08,0,0.8362
TXN0000122,34,Female,Anambra,Sterling,Domiciliary,77103.44,50337.21,4,5,Monday,Atm,Yes,Yes,0,21.0,1,No,1.5317,No,11.2529,10.8265,Normal,0.1818,1,1.0394
TXN0000123,25,Male,Rivers,FCMB,Current,9257.65,7722.4,2,12,Thursday,Online,Yes,Yes,0,50.0,0,Yes,1.1988,No,9.1333,8.952,Normal,0.0392,0,1.0203
TXN0000124,52,Male,Delta,Access,Savings,8294.07,102679.45,2,1,Wednesday,Transfer,Yes,No,0,37.0,0,No,0.0808,No,9.0234,11.5394,RedFlag,0.0526,0,0.782
TXN0000125,52,Male,Delta,Fidelity,Savings,69294.15,17537.17,2,10,Friday,Mobile,Yes,Yes,0,29.0,1,Yes,3.9513,No,11.1461,9.7721,Normal,0.0667,1,1.1406
TXN0000126,50,Female,Abuja,FirstBank,Savings,5728.33,171530.91,2,20,Saturday,Mobile,Yes,No,0,36.0,0,Yes,0.0334,No,8.6534,12.0525,Normal,0.0541,0,0.718
TXN0000127,22,Female,Anambra,GTBank,Current,4554.22,346224.5,3,8,Monday,Pos,Yes,Yes,0,20.0,0,No,0.0132,No,8.424,12.7548,Normal,0.1429,0,0.6605
TXN0000128,59,Male,Enugu,Sterling,Current,5017.39,381399.32,4,6,Sunday,Atm,Yes,Yes,0,50.0,0,No,0.0132,No,8.5209,12.8516,Normal,0.0784,0,0.663
TXN0000129,56,Male,Delta,GTBank,Current,32721.22,140106.07,3,11,Thursday,Mobile,No,No,0,13.0,0,No,0.2335,No,10.3958,11.8502,Normal,0.2143,0,0.8773
TXN0000130,58,Female,Bauchi,Stanbic,Savings,54735.84,114943.15,2,10,Saturday,Mobile,Yes,Yes,0,1.0,0,No,0.4762,No,10.9103,11.6522,Normal,1.0,0,0.9363
TXN0000131,45,Female,Abuja,FCMB,Savings,12495.8,456776.76,1,14,Saturday,Atm,Yes,Yes,0,41.0,0,No,0.0274,No,9.4332,13.032,Normal,0.0238,0,0.7238
TXN0000132,24,Male,Oyo,UBA,Current,3656.87,129920.12,3,11,Wednesday,Mobile,Yes,Yes,0,28.0,0,No,0.0281,No,8.2046,11.7747,Normal,0.1034,0,0.6968
TXN0000133,26,Male,Kaduna,Polaris,Savings,22030.45,393539.11,2,2,Thursday,Online,Yes,Yes,0,1.0,0,No,0.056,No,10.0002,12.8829,RedFlag,1.0,0,0.7762
TXN0000134,25,Female,Abuja,GTBank,Savings,5891.0,372607.14,6,17,Sunday,Mobile,No,Yes,0,42.0,0,No,0.0158,No,8.6814,12.8283,Normal,0.1395,0,0.6767
TXN0000135,29,Female,Abuja,FirstBank,Domiciliary,1657.54,51270.86,4,23,Monday,Mobile,Yes,Yes,1,80.0,0,No,0.0323,No,7.4137,10.8449,RedFlag,0.0494,1,0.6836
TXN0000136,51,Female,Delta,Zenith,Savings,54339.71,2076.97,3,7,Monday,Atm,Yes,Yes,0,29.0,3,No,26.163,No,10.903,7.6391,Normal,0.1,3,1.4273
