TransactionID,Age,Gender,State,Bank,AccountType,TransactionAmount,AccountBalance,NumTransactionsDay,TransactionHour,TransactionDay,Channel,LocationMatch,DeviceKnown,PrevFraudFlag,AccountAgeMonths,FailedAttempts,InternationalTransaction,AmountToBalanceRatio,IsFraud
TXN0000016,57.0,Female,Kano,Zenith,Savings,3982.76,40028.24,1,18,Thursday,atm,Yes,Yes,0,15,0,Yes,0.0995,no
TXN0000017,41.0,male,Lagos,Stanbic,current,15879.87,182902.0,2,13,Thursday,POS,No,no,0,45,1,yes,0.0868,yes
TXN0000018,20.0,Female,Oyo,Access,Savings,8952.53,41511.55,1,8,Tuesday,Transfer,Yes,yes,0,30,1,No,0.2157,False
TXN0000019,39.0,female,Lagos,Fidelity,CUR,14139.55,6101.73,6,22,Friday,Transfer,1,yes,0,72,0,1,2.3169,0
TXN0000020,70.0,male,Anambra,GTBank,Savings,27136.0,50142.95,6,12,Wednesday,Mobile,Yes,Yes,0,31,0,no,0.5412,false
TXN0000021,19.0,Male,Enugu,FCMB,SAV,-4038.02,101859.08,4,13,Tuesday,Transfer,Yes,No,0,1,1,no,0.0396,Clean
TXN0000022,41.0,F,Abuja,FirstBank,DOM,438.22,278143.58,4,3,Wednesday,ATM,Yes,No,0,23,0,No,0.0016,false
TXN0000023,61.0,Female,Bauchi,Sterling,Savings,12642.82,106652.84,2,2,Monday,ATM,No,Yes,1,58,0,No,0.1185,Clean
TXN0000024,47.0,Female,Oyo,Stanbic,DOM,9722.0,29612.34,4,1,Sunday,atm,yes,No,0,32,0,Yes,0.3283,CLEAN
TXN0000025,55.0,male,Enugu,FCMB,Savings,13636.81,739343.87,5,20,Friday,mobile,Yes,Yes,0,30,0,No,0.0184,CLEAN
TXN0000026,19.0,Female,Rivers,FCMB,Savings,66921.39,47221.63,2,16,Thursday,Mobile,No,Yes,0,16,0,No,1.4171,NO
TXN0000027,38.0,female,Lagos,Sterling,Current,30696.74,"NGN632,932.35",5,5,Wednesday,Online,no,No,0,34,0,No,0.0485,false
TXN0000028,50.0,Male,Anambra,UBA,C,9917.3,413117.3,2,1,Saturday,ATM,No,Yes,0,1,0,no,0.024,false
TXN0000029,29.0,male,Lagos,UBA,Current,4939.3,117277.58,2,11,Saturday,Online,Yes,Yes,0,74,0,0,0.0421,Clean
TXN0000030,39.0,MALE,Kano,Sterling,Current,-24089.69,14470.54,1,11,Tuesday,Online,Yes,No,0,52,0,No,1.6646,no
TXN0000031,61.0,male,Kaduna,Polaris,Domiciliary,26792.66,178320.67,3,20,Monday,ATM,Yes,Yes,0,42,0,No,0.1502,CLEAN
TXN0000032,42.0,M,Anambra,Sterling,DOM,16522.94,280345.65,5,17,Friday,Transfer,yes,no,0,11,0,no,0.0589,NO
TXN0000033,66.0,f,Anambra,Stanbic,savings,5980.58,88399.48,1,3,Sunday,ATM,Yes,Yes,0,53,0,no,0.0677,false
TXN0000034,44.0,Female,Abuja,UBA,Savings,724.27,40976.26,3,5,Saturday,online,FALSE,Yes,0,61,0,1,0.0177,no
TXN0000035,59.0,Male,Bauchi,UBA,Savings,7719.6,243548.91,4,19,Wednesday,online,Yes,Yes,0,96,0,No,0.0317,Clean
TXN0000036,45.0,M,Rivers,Polaris,Savings,15274.0,"₦118,144.34",3,20,Monday,Transfer,Yes,Unknown,0,23,1,No,0.1293,False
TXN0000037,33.0,Male,Rivers,FCMB,Current,38771.48,33027.82,1,19,Saturday,Mobile,No,No,0,35,0,No,1.1739,1
TXN0000038,32.0,f,Abuja,Sterling,Savings,48061.6,447982.11,1,19,Wednesday,POS,Yes,No,0,58,0,0,0.1073,No
TXN0000039,64.0,Female,Lagos,Zenith,Savings,13315.47,443760.35,2,18,Wednesday,POS,No,No,0,28,0,No,0.03,CLEAN
TXN0000040,68.0,female,Delta,Stanbic,current,39756.09,68604.5,1,2,Sunday,ATM,Yes,Yes,0,1,0,No,0.5795,NO
TXN0000041,61.0,female,Enugu,GTBank,Savings,125339.08,9921.47,8,19,Wednesday,Online,Yes,Yes,0,39,2,Yes,12.6318,No
TXN0000042,72.0,Female,Delta,FirstBank,Current,31523.31,149457.86,5,7,Friday,online,Yes,Yes,0,28,0,No,0.2109,false
TXN0000043,69.0,male,Kano,Fidelity,Current,32603.95,57238.87,1,20:00,Friday,POS,0,Yes,0,15,1,No,0.5696,0
TXN0000044,74.0,Male,Rivers,FCMB,Savings,60070.22,10298.89,4,15,Thursday,online,Yes,No,0,27,0,No,5.8321,false
TXN0000045,20.0,M,Bauchi,FirstBank,Current,10317.69,333574.98,4,22,Wednesday,Mobile,Yes,Yes,0,48,0,0,0.0309,no
TXN0000046,54.0,Male,Kaduna,GTBank,Current,281.72,941178.77,2,21,Monday,ATM,No,Yes,0,49,0,No,0.0003,0
TXN0000047,68.0,m,Lagos,UBA,current,108526.48,"NGN64,711.05",4,0,Saturday,Transfer,1,yes,0,12,2,No,1.6771,0
TXN0000048,24.0,f,Bauchi,Access,Savings,16856.57,204824.58,1,1,Tuesday,Transfer,Yes,Yes,0,37,0,No,0.0823,CLEAN
TXN0000049,38.0,Female,Bauchi,UBA,Current,38506.85,10205.02,2,9,Wednesday,POS,Yes,Yes,0,30,1,no,3.773,false
TXN0000050,26.0,Female,Oyo,Sterling,savings,41848.23,69235.2,1,4,Thursday,online,0,Yes,0,38,0,No,0.6044,false
TXN0000051,56.0,female,Anambra,FCMB,savings,12667.38,17269.84,6,18,Saturday,Mobile,No,Yes,0,31,0,Yes,0.7335,CLEAN
TXN0000052,35.0,Female,Enugu,Zenith,savings,19482.5,8541.11,1,11,Saturday,ATM,No,No,0,1,0,No,2.2808 ratio,Clean
TXN0000053,21.0,FEMALE,Anambra,Zenith,CUR,19408.63,133298.07,4,23,Sunday,POS,Yes,Yes,0,56,2,No,0.1456,No
TXN0000054,42.0,F,Bauchi,UBA,savings,6218.46,242946.71,1,23,Friday,Transfer,Yes,Yes,0,40,0,No,0.0256,no
TXN0000055,31.0,Female,Abuja,Sterling,Current,3128.85,90487.81,5,17,Thursday,ATM,no,No,0,69,0,No,0.0346,NO
TXN0000056,67.0,MALE,Delta,Fidelity,savings,19608.12,111407.07,2,5,Thursday,ATM,No,No,0,31,0,No,0.176,no
TXN0000057,26.0,M,Oyo,FirstBank,Current,3199.9,47356.69,1,22,Wednesday,Online,Yes,0,0,36,1,1,0.0676,NO
TXN0000058,43.0,m,Anambra,UBA,Savings,10619.59,199991.13,2,13,Wednesday,POS,No,No,0,30,0,No,0.0531,Clean
TXN0000059,70.0,m,Kano,Polaris,Savings,5147.43,67194.82,4,22,Monday,Online,yes,No,0,43,0,Yes,0.0766,No
TXN0000060,19.0,Male,Kaduna,UBA,Savings,30682.41,10482.76,4,2,Monday,POS,Yes,Yes,0,58,0,no,2.9267,False
TXN0000061,37.0,Male,Kaduna,Zenith,Savings,51394.85,27139.77,1,12,Thursday,Transfer,yes,Yes,0,52,0,no,1.8936,False
TXN0000062,45.0,f,Enugu,Sterling,Savings,21563.69,20625.51,1,6,Monday,Mobile,No,0,0,46,1,no,1.0454,False
TXN0000063,64.0,m,Kano,Access,Savings,13197.42,85872.65,1,16,Saturday,MOBILE,Yes,No,0,29,1,No,0.1537,CLEAN
TXN0000064,24.0,Male,Anambra,UBA,current,142415.01,10115.44,1,8,Monday,POS,No,Yes,0,57,0,No,14.0776,false
TXN0000065,61yrs,MALE,Anambra,Polaris,CUR,535.93,246359.51,1,5,Tuesday,ATM,No,Yes,0,20,1,No,0.0022,false
TXN0000066,25.0,M,Bauchi,UBA,Current,9072.4,357903.47,2,5,Monday,Online,Yes,0,0,1,0,No,0.0253,Clean
TXN0000067,64.0,Female,Anambra,Stanbic,current,8166.57,42831.49,4,22,Thursday,Online,Yes,Yes,1,35,0,No,0.1907,Clean
TXN0000068,52.0,FEMALE,Kano,Sterling,Savings,11009.32,99686.8,2,1,Wednesday,POS,Yes,Unknown,0,1,0,yes,0.1104,CLEAN
TXN0000069,31.0,Male,Kaduna,Access,SAV,6553.47,109802.87,1,10,Friday,Online,Yes,No,0,14,1,No,0.0597,Clean
TXN0000070,34.0,m,Bauchi,FirstBank,Current,7672.06,629967.93,1,1,Wednesday,POS,No,1,0,30,0,0,0.0122,0
TXN0000071,53.0,Female,Lagos,UBA,Savings,7449.27,10180.74,3,19,Thursday,ATM,Yes,No,0,27,2,No,0.7316,No
TXN0000072,670,male,Kano,FCMB,Savings,,165339.91,2,14,Sunday,ATM,Yes,Yes,0,47,0,No,0.1066,False
TXN0000073,57.0,Female,Abuja,Sterling,Savings,12400.69,63643.3,1,1,Friday,Mobile,0,No,0,32,1,No,0.1948,True
TXN0000074,21.0,F,Anambra,FCMB,Savings,25491.34,104514.92,4,6,Saturday,MOBILE,Yes,0,0,40,1,No,0.2439,Clean
TXN0000075,19.0,male,Kaduna,Stanbic,Savings,18059.31,-36700.01,4,9,Tuesday,Mobile,Yes,Yes,0,19,2,No,0.4921,0
TXN0000076,23.0,Male,Delta,Sterling,Savings,-5065.82,26196.28,4,1,Thursday,Mobile,0,Yes,0,48,0,No,0.1934,NO
TXN0000077,71 years,F,Anambra,Access,Savings,41524.2,41870.86,2,16,Thursday,atm,yes,Yes,0,51,0,No,0.9917,false
TXN0000078,59.0,M,Abuja,Access,Savings,15975.72,11089.28,1,16,Saturday,mobile,No,Yes,0,37,1,No,1.4405,0
TXN0000079,21.0,Male,Kaduna,Access,C,4158.2,48878.28,2,17,Thursday,ATM,yes,Yes,0,27,0,No,0.0851,false
TXN0000080,71.0,MALE,Enugu,FirstBank,Savings,4564.44,175847.34,1,13,Wednesday,ATM,Yes,yes,0,38,0,yes,0.026,Clean
TXN0000081,46.0,Female,Anambra,GTBank,Savings,39859.84,158109.78,1,2,Saturday,Online,no,Yes,0,18,0,No,0.2521,no
TXN0000082,35.0,F,Bauchi,Sterling,Domiciliary,30350.0,121282.43,2,16,Sunday,Online,Yes,No,0,43,0,1,0.2502,No
TXN0000083,43.0,F,Oyo,Access,current,17657.23,500.0,1,23,Friday,POS,Yes,Yes,0,35,1,No,35.244,NO
TXN0000084,61.0,F,Kano,UBA,Current,9135.02,20163.83,1,14,Tuesday,pos,yes,0,0,18,2,Yes,0.453,1
TXN0000085,51.0,Male,Abuja,FCMB,current,15428.83,277601.72,1,21,Monday,Mobile,Yes,No,0,6,0,No,0.0556,CLEAN
TXN0000086,27.0,M,Anambra,Polaris,Savings,25298.27,47564.24,6,18,Friday,ATM,Yes,no,0,63,0,No,0.5319,False
TXN0000087,53.0,M,Lagos,Stanbic,Savings,52857.52,364902.17,1,19,Sunday,POS,yes,Yes,0,47,0,Yes,0.1449,CLEAN
TXN0000088,31.0,female,Delta,Access,Savings,20290.83,311372.56,3,15,Thursday,atm,Yes,0,0,48,0,Yes,0.0652,NO
TXN0000089,48.0,MALE,Kaduna,UBA,Current,8099.5,25249.85,2,2 PM,Sunday,ATM,Yes,Yes,0,35,0,yes,0.3208,no
TXN0000090,65.0,F,Abuja,UBA,Current,1092.0,342641.13,3,4,Thursday,Transfer,yes,0,0,40,0,No,0.0032,False
TXN0000091,32.0,Male,Kano,Access,Domiciliary,4823.09,148262.63,1,14,Thursday,mobile,Yes,no,0,44,0,No,0.0325,Clean
TXN0000092,25.0,Female,Anambra,Access,Savings,26258.24,149254.16,1,14,Sunday,POS,yes,Yes,0,59,1,No,0.1759,no
TXN0000093,31 years,Male,Lagos,FirstBank,Domiciliary,4371.84,287272.09,3,11PM,Thursday,POS,yes,No,0,36,0,No,0.0152,false
TXN0000094,40.0,Male,Kaduna,UBA,Savings,16422.29,77893.14,3,17,Sunday,ATM,Yes,Yes,0,1 months,0,No,0.2108,No
TXN0000095,74.0,Female,Kano,Polaris,Current,30012.39,199352.93,3,4,Tuesday,ATM,No,Yes,0,29,0,No,0.1505,NO
TXN0000096,57.0,Female,Kaduna,UBA,Current,9212.36,165286.62,2,0,Wednesday,Online,Yes,Yes,0,8,0,no,0.0557,false
TXN0000097,38.0,Female,Kano,Polaris,Domiciliary,27648.92,221442.49,2,0,Friday,ATM,Yes,yes,0,18,0,No,0.1249,0
TXN0000098,33.0,Male,Anambra,FirstBank,Savings,21751.41,161904.83,4,2,Tuesday,pos,yes,Yes,0,23,0,yes,0.1343,no
TXN0000099,62.0,Male,Oyo,GTBank,current,14448.15,12516.18,4,16,Tuesday,Mobile,Yes,yes,0,15,0,No,1.1543,NO
TXN0000100,35.0,Male,Rivers,FCMB,Domiciliary,56885.31,51947.39,1,21:00,Tuesday,online,Yes,No,0,1,0,yes,1.095,no
TXN0000101,64.0,Male,Bauchi,Polaris,Savings,29446.17,421813.92,2,21,Tuesday,online,0,Unknown,0,25,0,No,0.0698,NO
TXN0000102,70.0,M,Oyo,GTBank,DOM,11180.51,37929.34,1,20,Sunday,Transfer,No,Yes,0,1,0,No,0.2948,No
TXN0000103,41.0,F,Rivers,Zenith,Domiciliary,40774.78,95872.85,4,13,Tuesday,Mobile,yes,Yes,0,6.6 years,0,Yes,0.4253,Clean
TXN0000104,43.0,Male,Anambra,Zenith,Current,33495.02,66224.78,3,8,Tuesday,Mobile,1,Yes,0,23,1,No,0.5058,no
TXN0000105,42.0,M,Anambra,FirstBank,Savings,39217.47,13537.74,5,3,Tuesday,mobile,No,yes,0,33,1,Yes,2.8967,YES
TXN0000106,62.0,Female,Anambra,Sterling,Current,25607.76,29985.24,4,18,Wednesday,Online,Yes,Yes,0,55,0,Yes,0.854,Clean
TXN0000107,58.0,Male,Rivers,GTBank,Savings,"NGN11,925.53",50671.06,3,2,Wednesday,Mobile,Yes,Yes,0,14,2,No,0.2353,no
TXN0000108,46.0,Male,Lagos,GTBank,Current,10714.96,93352.57,8,0,Saturday,atm,Yes,No,0,56,1,no,0.1148 ratio,CLEAN
TXN0000109,32.0,M,Abuja,Stanbic,Current,26543.85,311346.1,3,3,Tuesday,POS,Yes,Yes,0,38,0,No,0.0853,CLEAN
TXN0000110,62.0,male,Rivers,Fidelity,Domiciliary,3507.43,108731.68,4,22,Thursday,mobile,Yes,yes,0,25,0,yes,0.0323,NO
TXN0000111,18.0,Female,Delta,FirstBank,Savings,42858.07,158291.96,1,23,Monday,POS,yes,yes,0,,1,No,0.2708,0
TXN0000112,42.0,Male,Abuja,Zenith,savings,11564.2,83257.16,4,13,Tuesday,Online,Yes,Yes,0,31,0,yes,0.1389,false
TXN0000113,24.0,FEMALE,Delta,Zenith,Savings,24881.45,,7,21,Friday,Online,1,no,0,50,0,No,0.0813,NO
TXN0000114,26.0,Female,Kano,UBA,Current,17281.92,162982.45,3,22,Friday,Mobile,No,Unknown,0,74,0,No,0.106,false
TXN0000115,41.0,Female,Bauchi,Stanbic,savings,18314.18,14250.53,4,20,Tuesday,Mobile,Y,yes,0,31,1,No,1.2851,0
TXN0000116,18.0,FEMALE,Bauchi,Access,Current,33485.86,97369.89,5,13,Sunday,Mobile,Yes,yes,0,42,0,no,0.3439,false
TXN0000117,61.0,MALE,Bauchi,FCMB,Savings,24632.32,263372.76,6,7,Wednesday,Online,Yes,1,0,30,0,No,0.0935,Clean
TXN0000118,25.0,M,Enugu,UBA,Current,7202.35,198444.62,4,,Saturday,Online,Yes,yes,0,16,0,Yes,0.0363,No
TXN0000119,41.0,M,Rivers,Stanbic,Savings,1928.13,353573.85,1,2,Friday,POS,Yes,No,0,75,0,0,0.0055,0
TXN0000120,28.0,Female,Lagos,Zenith,Current,45851.14,38751.08,3,23,Wednesday,POS,yes,Yes,0,50,0,no,1.1832,Clean
TXN0000121,68.0,Male,Kano,Stanbic,Savings,54047.56,566966.19,4,6,Sunday,Online,Yes,Yes,0,49,0,0,0.0953,CLEAN
TXN0000122,34.0,F,Anambra,Sterling,Domiciliary,4493020.0,50337.21,4,5,Monday,ATM,Yes,yes,0,21,1,No,0.0893,NO
TXN0000123,25.0,Male,Rivers,FCMB,Current,9257.65,7722.4,2,12,Thursday,online,Yes,Yes,0,50,0,Yes,1.1986,no
TXN0000124,52.0,M,Delta,Access,Savings,8294.07,102679.45,2,1,Wednesday,Transfer,yes,No,0,37,0,No,0.0808,False
TXN0000125,52.0,m,Delta,Fidelity,Savings,69294.15,17537.17,2,10,Friday,Mobile,Yes,Yes,0,29,1,Yes,3.951,0
TXN0000126,50.0,f,Abuja,FirstBank,Savings,5728.33,171530.91,2,20,Saturday,Mobile,Yes,no,0,36,0,1,0.0334,No
TXN0000127,22.0,Female,Anambra,GTBank,Current,4554.22,346224.5,3,8,Monday,POS,1,Yes,0,20,0,No,0.0132,NO
TXN0000128,59.0,male,Enugu,Sterling,Current,5017.39,381399.32,4,6,Sunday,ATM,Yes,Yes,0,50,0,No,0.0132,no
TXN0000129,56.0,M,Delta,GTBank,Current,32721.22,140106.07,3,11,Thursday,Mobile,FALSE,No,0,13,0,No,0.2335,CLEAN
TXN0000130,58.0,FEMALE,Bauchi,Stanbic,savings,54735.84,114943.15,2,10,Saturday,MOBILE,Yes,Yes,0,1,0,No,0.4762,0
TXN0000131,45.0,Female,Abuja,FCMB,Savings,12495.8,767185.1,1,14,Saturday,ATM,Yes,Yes,0,41,0,no,0.0163,false
TXN0000132,24.0,Male,Oyo,UBA,CUR,3656.87,129920.12,3,11,Wednesday,Mobile,Yes,Yes,0,28,0,No,0.0281,CLEAN
TXN0000133,26.0,Male,Kaduna,Polaris,Savings,22030.45,393539.11,2,2,Thursday,online,yes,yes,0,1,0,No,0.056,no
TXN0000134,25.0,Female,Abuja,GTBank,Savings,5891.0,372607.14,6,17,Sunday,MOBILE,No,Yes,0,42,0,No,0.0158,No
TXN0000135,29.0,Female,Abuja,FirstBank,Domiciliary,1657.54,51270.86,4,23,Monday,Mobile,yes,Yes,1,80,0,No,0.0323,No
TXN0000136,51.0,female,Delta,Zenith,savings,54339.71,2076.97,3,7,Monday,ATM,Y,Yes,0,29,3,No,26.1504,no
TXN0000137,50.0,male,Rivers,UBA,Current,51167.83,86750.19,1,14,Tuesday,POS,yes,No,0,11,1,No,0.5898,no
TXN0000138,65.0,Female,Anambra,UBA,Domiciliary,93149.13,296392.16,1,15,Tuesday,Online,Yes,Yes,0,54,0,No,0.3143,no
TXN0000139,72.0,M,Oyo,Polaris,current,16061.58,271306.14,3,16,Wednesday,ATM,No,Yes,0,25,0,1,0.0592,false
TXN0000140,40.0,Male,Bauchi,Stanbic,savings,8703.54,138825.9,3,17,Friday,Online,yes,No,0,34,0,Yes,0.0627,False
TXN0000141,41.0,FEMALE,Rivers,Stanbic,Savings,36718.4,25557.48,1,20,Tuesday,Mobile,Yes,Yes,0,20,1,No,,NO
TXN0000142,54.0,m,Kano,Zenith,savings,4976.37,17074.06,3,12,Wednesday,ATM,Yes,Yes,0,33,0,No,0.2914,0
TXN0000143,52.0,f,Delta,GTBank,savings,6969.45,464107.59,3,20,Thursday,ATM,No,No,0,37,1,Yes,0.015,Yes
TXN0000144,61.0,FEMALE,Anambra,FirstBank,Domiciliary,7382.19,82070.98,1,15,Monday,Online,Yes,yes,0,28,0,No,0.0899 ratio,False
TXN0000145,57.0,Male,Lagos,Access,savings,75716.41,156687.25,1,6,Tuesday,ATM,Yes,No,0,60,0,No,0.4832,False
TXN0000146,39.0,Male,Bauchi,Fidelity,DOM,32716.94,354452.87,1,4,Wednesday,Mobile,0,Yes,0,38,0,No,0.0923,false
TXN0000147,44.0,F,Rivers,UBA,Current,3587.95,305909.92,1,11,Sunday,Mobile,Yes,1,0,54,0,No,0.0117,NO
TXN0000148,52.0,m,Bauchi,FCMB,Savings,2436.07,125519.1,3,8,Saturday,Online,No,Yes,0,54,1,No,0.0194,false
TXN0000149,18.0,Male,Anambra,Sterling,Current,46258.27,100386.82,6,0,Saturday,Mobile,No,Yes,0,23,1,Yes,0.4608,Fraud
TXN0000150,52.0,Male,Kano,Access,Savings,40521.87,199350.61,3,20,Monday,pos,Yes,Yes,0,28,0,No,0.2033,no
TXN0000151,54.0,MALE,Kano,Sterling,Savings,27792.03,64535.7,4,2,Thursday,atm,Yes,Yes,0,40,0,No,0.4306,false
TXN0000152,64.0,Male,Bauchi,Stanbic,Current,5457.03,147280.72,1,9,Tuesday,Transfer,1,Yes,1,76,2,No,0.0371,NO
TXN0000153,31.0,M,Kano,Polaris,Savings,16361800.0,3513.7,4,10,Tuesday,POS,yes,no,0,47,0,no,4.6552,0
TXN0000154,20.0,male,Rivers,Zenith,Domiciliary,23078.22,260857.32,2,21,Thursday,MOBILE,Yes,yes,0,28,0,no,0.0885,false
TXN0000155,18.0,Female,Bauchi,Zenith,savings,67256.8,934631.6,3,16,Saturday,Mobile,yes,Yes,0,34,0,No,0.072,No
TXN0000156,22.0,Male,Rivers,Access,Current,4640.89,464188.74,1,17,Friday,online,no,0,0,45,2,Yes,0.01,No
TXN0000157,43.0,female,Kano,GTBank,SAV,18113.2,66918.42,1,8,Wednesday,Transfer,Yes,Yes,0,57,0,No,0.2707,no
TXN0000158,72.0,male,Enugu,Zenith,Savings,4292.01,113605.27,4,17,Thursday,atm,Yes,Yes,0,57,0,0,0.0378,false
TXN0000159,31.0,f,Kaduna,Stanbic,current,,40420.73,3,19,Saturday,Online,no,0,0,1,0,No,0.3629,0
TXN0000160,56.0,Female,Lagos,Sterling,savings,5582.81,54142.77,2,12,Monday,ATM,No,No,0,93,0,Yes,0.1031,no
TXN0000161,44.0,Male,Delta,FCMB,Savings,45225.62,91692.53,6,09:00,Monday,mobile,N,No,0,10,0,No,0.4932,No
TXN0000162,26.0,female,Anambra,FCMB,Savings,7350.43,206202.84,1,18,Sunday,Mobile,No,No,1,46,0,No,0.0356,FRAUD
TXN0000163,32.0,F,Lagos,Fidelity,Savings,13493.69,2706.63,4,23,Friday,mobile,Yes,No,0,22,2,no,4.9836,false
TXN0000164,32.0,Female,Rivers,Fidelity,savings,13097.25,75075.4,7,0,Sunday,atm,Yes,No,0,43,0,No,0.1745,CLEAN
TXN0000165,43.0,female,Kaduna,FirstBank,current,50302.98,121957.58,3,8AM,Thursday,Transfer,No,Yes,0,27,1,Yes,0.4125,False
TXN0000166,59.0,Female,Kaduna,Access,Savings,35449.52,36345.71,1,19,Saturday,ATM,Yes,No,0,37,0,No,0.9753,no
TXN0000167,30.0,Female,Enugu,Sterling,Current,1482.49,12259.41,4,15,Wednesday,Mobile,Yes,No,0,43,0,No,0.1209,no
TXN0000168,68.0,Male,Oyo,GTBank,Savings,1736.1,116340.42,1,13,Thursday,POS,Yes,Yes,0,49,0,No,0.0149,NO
TXN0000169,49.0,Female,Oyo,Fidelity,Current,20029.29,152337.95,1,7,Friday,atm,No,No,0,92,0,No,0.1315,NO
TXN0000170,56.0,M,Rivers,UBA,C,13953.13,153665.89,1,7,Sunday,Online,Yes,Yes,0,20,1,1,0.0908,NO
TXN0000171,66.0,F,Kaduna,Zenith,Savings,8059.74,66144.66,6,5,Tuesday,Online,Yes,No,0,53,0,No,0.1218,False
TXN0000172,69.0,female,Enugu,GTBank,CUR,39330.17,40645.73,2,9,Sunday,pos,Yes,Yes,0,41,0,1,0.9676,false
TXN0000173,49.0,m,Delta,Fidelity,savings,3442.36,37343.54,1,7,Sunday,POS,Yes,Yes,1,98,0,Yes,0.0922,No
TXN0000174,21.0,Male,Delta,Sterling,DOM,91296.25,6205.19,5,13,Sunday,ATM,no,Yes,0,31,0,No,14.7105,false
TXN0000175,47.0,Male,Lagos,GTBank,Savings,609.94,30626.81,1,18,Saturday,POS,Yes,1,0,31,0,No,0.0199,No
TXN0000176,54.0,Male,Bauchi,GTBank,Savings,3145.62,256062.68,3,13,Thursday,ATM,no,Yes,0,66,2,No,0.0123,Clean
TXN0000177,40.0,Male,Anambra,Sterling,Savings,9324.34,500.0,1,5,Friday,POS,No,1,0,15,0,No,18.6115,no
TXN0000178,56.0,male,Enugu,Fidelity,Domiciliary,17790.37,6732.13,4,1,Friday,Mobile,No,Yes,0,9,0,Yes,2.6422,Clean
TXN0000179,62.0,female,Bauchi,Sterling,Current,6088.0,20376.21,2,16,Tuesday,Mobile,yes,no,0,48,0,No,0.2988,False
TXN0000180,32.0,female,Kano,Polaris,Savings,33315.54,81771.31,1,20,Friday,MOBILE,Yes,No,0,19,0,1,0.4074,0
TXN0000181,60.0,Female,Delta,Polaris,savings,11061.34,60910.81,3,6,Sunday,Mobile,Yes,Yes,0,16,1,1,0.1816,No
TXN0000182,46.0,Female,Rivers,FCMB,Savings,982.51,29372.28,2,5,Wednesday,ATM,Yes,Yes,0,75,0,No,0.0334,False
TXN0000183,53.0,M,Enugu,FCMB,Savings,52536.45,17640.18,4,14,Friday,atm,Yes,Yes,0,58,0,no,2.9781,False
TXN0000184,30.0,Male,Kaduna,Sterling,Current,72000.19,419194.57,3,3,Sunday,POS,Yes,Yes,0,1,0,yes,0.1718,Clean
TXN0000185,49.0,male,Abuja,FCMB,Savings,24095280.0,363290.15,7,3,Tuesday,ATM,No,Unknown,0,30,0,No,0.0663,false
TXN0000186,24.0,f,Abuja,Fidelity,Savings,41066.65,221694.76,1,8,Sunday,Online,Yes,Yes,0,74,0,1,0.1852,no
TXN0000187,68.0,Female,Delta,FCMB,Current,3227.43,43557.25,5,11,Saturday,POS,Yes,No,0,12,1,Yes,0.0741,no
TXN0000188,39.0,female,Enugu,Access,current,7827.4,58667.34,2,2,Sunday,ATM,Yes,Unknown,0,39,0,0,0.1334,False
